TEKsystems,Unknown company,"Newark, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/TEKsystems/Jobs/-in-New-York,NY?id=GQWzOTpeN7kPCSV3FePCKNI3aW8="
Defense Consulting Services,Unknown company,"Manhattan, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Newscape Consulting LLC,Unknown company,"Bound Brook, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Tata Consultancy Service Limited,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Tata-Consultancy-Service-Limited/Jobs/-in-New-York,NY"
Dcode Talent LLC,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Dcode-Talent-LLC/Jobs/-in-New-York,NY"
Synechron,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Synechron/Jobs/-in-New-York,NY?id=2xKDP3gW+TyfQ6wT2y1D5dj6MQ8="
Optimum,Unknown company,"Bethpage, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Meritore,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Meritore/Jobs/-in-New-York,NY"
Tech Spot Consulting Llc,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Tech-Spot-Consulting-Llc/Jobs/-in-New-York,NY"
Dellfor Technologies,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Dellfor-Technologies/Jobs/-in-New-York,NY?id=Sai8wmEduC4jaMWptdh46X3jnJs="
TEKsystems,Unknown company,"Newark, NJ",$70 - $75/hr,2025-10-14,"https://www.ziprecruiter.com/co/TEKsystems/Jobs/-in-New-York,NY?id=GQWzOTpeN7kPCSV3FePCKNI3aW8="
Defense Consulting Services,Unknown company,"Manhattan, NY",$64K - $74K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Newscape Consulting LLC,Unknown company,"Bound Brook, NJ",$53.50 - $73.75/hr,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Tata Consultancy Service Limited,Unknown company,"Jersey City, NJ",$95K - $115K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Tata-Consultancy-Service-Limited/Jobs/-in-New-York,NY"
Dcode Talent LLC,Unknown company,"Jersey City, NJ",$120K - $140K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Dcode-Talent-LLC/Jobs/-in-New-York,NY"
Synechron,Unknown company,"Jersey City, NJ",$115K - $125K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Synechron/Jobs/-in-New-York,NY?id=2xKDP3gW+TyfQ6wT2y1D5dj6MQ8="
Optimum,Unknown company,"Bethpage, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Meritore,Unknown company,"Jersey City, NJ",$52.50 - $72.25/hr,2025-10-14,"https://www.ziprecruiter.com/co/Meritore/Jobs/-in-New-York,NY"
Tech Spot Consulting Llc,Unknown company,"Jersey City, NJ",$55 - $58/hr,2025-10-14,"https://www.ziprecruiter.com/co/Tech-Spot-Consulting-Llc/Jobs/-in-New-York,NY"
Dellfor Technologies,Unknown company,"Jersey City, NJ",$80K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Dellfor-Technologies/Jobs/-in-New-York,NY?id=Sai8wmEduC4jaMWptdh46X3jnJs="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Software Developer,Ned's Home,"Fairfield, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Ned%27s-Home/Jobs/-in-New-York,NY"
Software Developer,Ned's Home,"Fairfield, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Ned%27s-Home/Jobs/-in-New-York,NY"
Frontend UI Software Development Engineer III,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Frontend UI Software Development Engineer III,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Front-End React Developer,Zortech Solutions,"Woodbridge, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Zortech-Solutions/Jobs/-in-New-York,NY?id=z79zYFkCE3HNRHLv2BrPQ_uayak="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Python/ML Developer,Newscape Consulting LLC,"Bound Brook, NJ · Remote",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-15,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Software Dev Engineer II,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-15,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
TEKsystems,Unknown company,"Newark, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/TEKsystems/Jobs/-in-New-York,NY?id=GQWzOTpeN7kPCSV3FePCKNI3aW8="
Defense Consulting Services,Unknown company,"Manhattan, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Newscape Consulting LLC,Unknown company,"Bound Brook, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Tata Consultancy Service Limited,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Tata-Consultancy-Service-Limited/Jobs/-in-New-York,NY"
Dcode Talent LLC,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Dcode-Talent-LLC/Jobs/-in-New-York,NY"
Synechron,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Synechron/Jobs/-in-New-York,NY?id=2xKDP3gW+TyfQ6wT2y1D5dj6MQ8="
Optimum,Unknown company,"Bethpage, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Meritore,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Meritore/Jobs/-in-New-York,NY"
Tech Spot Consulting Llc,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Tech-Spot-Consulting-Llc/Jobs/-in-New-York,NY"
Dellfor Technologies,Unknown company,"Jersey City, NJ",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Dellfor-Technologies/Jobs/-in-New-York,NY?id=Sai8wmEduC4jaMWptdh46X3jnJs="
TEKsystems,Unknown company,"Newark, NJ",$70 - $75/hr,2025-10-14,"https://www.ziprecruiter.com/co/TEKsystems/Jobs/-in-New-York,NY?id=GQWzOTpeN7kPCSV3FePCKNI3aW8="
Defense Consulting Services,Unknown company,"Manhattan, NY",$64K - $74K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Newscape Consulting LLC,Unknown company,"Bound Brook, NJ",$53.50 - $73.75/hr,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Tata Consultancy Service Limited,Unknown company,"Jersey City, NJ",$95K - $115K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Tata-Consultancy-Service-Limited/Jobs/-in-New-York,NY"
Dcode Talent LLC,Unknown company,"Jersey City, NJ",$120K - $140K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Dcode-Talent-LLC/Jobs/-in-New-York,NY"
Synechron,Unknown company,"Jersey City, NJ",$115K - $125K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Synechron/Jobs/-in-New-York,NY?id=2xKDP3gW+TyfQ6wT2y1D5dj6MQ8="
Optimum,Unknown company,"Bethpage, NY",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Meritore,Unknown company,"Jersey City, NJ",$52.50 - $72.25/hr,2025-10-14,"https://www.ziprecruiter.com/co/Meritore/Jobs/-in-New-York,NY"
Tech Spot Consulting Llc,Unknown company,"Jersey City, NJ",$55 - $58/hr,2025-10-14,"https://www.ziprecruiter.com/co/Tech-Spot-Consulting-Llc/Jobs/-in-New-York,NY"
Dellfor Technologies,Unknown company,"Jersey City, NJ",$80K/yr,2025-10-14,"https://www.ziprecruiter.com/co/Dellfor-Technologies/Jobs/-in-New-York,NY?id=Sai8wmEduC4jaMWptdh46X3jnJs="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Software Developer,Ned's Home,"Fairfield, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Ned%27s-Home/Jobs/-in-New-York,NY"
Software Developer,Ned's Home,"Fairfield, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Ned%27s-Home/Jobs/-in-New-York,NY"
Frontend UI Software Development Engineer III,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Frontend UI Software Development Engineer III,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Front-End React Developer,Zortech Solutions,"Woodbridge, NJ · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Zortech-Solutions/Jobs/-in-New-York,NY?id=z79zYFkCE3HNRHLv2BrPQ_uayak="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Python/ML Developer,Newscape Consulting LLC,"Bound Brook, NJ · Remote",Not disclosed,2025-10-14,"https://www.ziprecruiter.com/co/Newscape-Consulting-LLC/Jobs/-in-New-York,NY?id=gs4aLodyFthjl_oxeOA2fNIKEo0="
Python Developer,Defense Consulting Services,"Manhattan, NY · On-site",Not disclosed,2025-10-15,"https://www.ziprecruiter.com/co/Defense-Consulting-Services/Jobs/-in-New-York,NY?id=pzTTkpgptSoQoL9k8jBqT6oWypg="
Software Dev Engineer II,Optimum,"Bethpage, NY · On-site",Not disclosed,2025-10-15,"https://www.ziprecruiter.com/co/Optimum/Jobs/-in-New-York,NY?id=lJliwDgWM46iHIeJKYGexulSCSQ="
Email Developer,Deloitte,"New York, NY · On-site",Not disclosed,2025-10-17,"https://www.ziprecruiter.com/co/Deloitte/Jobs/-in-New-York,NY?id=vr+NlxbFE3mkY0mHJUjyL6QUE7w="
Key Account Manager - East Coast,Avomind,"New York, NY · On-site",Not disclosed,2025-10-17,"https://www.ziprecruiter.com/co/Avomind/Jobs/-in-New-York,NY"

Email Developer,Deloitte,"New York, NY · On-site",Not disclosed,2025-10-19,"https://www.ziprecruiter.com/co/Deloitte/Jobs/-in-New-York,NY?id=vr+NlxbFE3mkY0mHJUjyL6QUE7w="
Key Account Manager - East Coast,Avomind,"New York, NY · On-site",Not disclosed,2025-10-19,"https://www.ziprecruiter.com/co/Avomind/Jobs/-in-New-York,NY"
Regional New Business Developer,Freshpoint,"Brooklyn, NY · On-site",Not disclosed,2025-10-20,"https://www.ziprecruiter.com/co/Freshpoint/Jobs/-in-New-York,NY?id=RENj8J0oz88U2J+_S4CZK1k08EI="
